Ville,Latitude,Longitude,Timestamp,Température (K),Température (°C),Température ressentie (K),Température ressentie (°C),Pression (hPa),Humidité (%),Condition météo,Description météo,Visibilité (m),Vitesse du vent (m/s),Direction du vent (°),Couverture nuageuse (%),AQI,Polluant dominant,PM2.5,PM10,O3,NO2,Horodatage AQI
Paris,48.8566,2.3522,2025-05-20 17:03:03,297.42,24.3,296.71,23.6,1016,31,Clouds,broken clouds,10000,2.24,33,64,48,pm25,48,13,47.6,19.2,2025-05-20T13:00:00+02:00
Marseille,43.2965,5.3698,2025-05-20 17:03:05,294.01,20.9,293.9,20.8,1012,67,Clouds,overcast clouds,10000,1.79,251,91,44,o3,13,9,43.9,4.9,2025-05-20T16:00:00+02:00
Lyon,45.764,4.8357,2025-05-20 17:03:06,293.08,19.9,292.98,19.8,1014,71,Clouds,scattered clouds,10000,3.94,335,36,37,o3,8,N/A,37,1.8,2025-05-20T13:00:00+02:00
Toulouse,43.6047,1.4442,2025-05-20 17:03:07,294.16,21.0,294.2,21.1,1019,72,Clouds,broken clouds,10000,6.6,292,73,44,pm25,44,15,36.9,1.6,2025-05-20T16:00:00+02:00
Nice,43.7102,7.262,2025-05-20 17:03:08,295.58,22.4,295.42,22.3,1012,59,Clouds,overcast clouds,10000,3.56,61,100,34,o3,21,12,33.6,11.2,2025-05-20T16:00:00+02:00
Nantes,47.2186,-1.5536,2025-05-20 17:03:09,296.58,23.4,296.31,23.2,1020,51,Clouds,overcast clouds,10000,5.96,265,97,48,o3,25,10,47.9,1.5,2025-05-20T16:00:00+02:00
Strasbourg,48.5734,7.7521,2025-05-20 17:03:10,295.01,21.9,294.61,21.5,1014,52,Clouds,broken clouds,10000,2.21,317,83,32,pm25,32,18,N/A,7,2025-05-20T14:00:00+02:00
Montpellier,43.6117,3.8777,2025-05-20 17:03:11,297.31,24.2,297.24,24.1,1014,56,Clouds,overcast clouds,10000,0.89,57,98,8,pm25,8,7,17.8,1.3,2025-05-20T16:00:00+02:00
Bordeaux,44.8378,-0.5792,2025-05-20 17:03:13,297.75,24.6,297.65,24.5,1020,53,Clouds,broken clouds,10000,5.32,309,69,30,pm25,30,22,3.3,18.8,2025-05-20T15:00:00+02:00
Lille,50.6292,3.0573,2025-05-20 17:03:14,295.37,22.2,294.82,21.7,1018,45,Clouds,overcast clouds,10000,6.41,342,87,34,pm25,34,19,15.6,5.5,2025-05-20T15:00:00+02:00
Rennes,48.1173,-1.6778,2025-05-20 17:03:15,296.76,23.6,296.35,23.2,1019,45,Clouds,overcast clouds,10000,3.08,317,100,45,o3,42,18,45.2,2.4,2025-05-20T15:00:00+02:00
Le Havre,49.4944,0.1079,2025-05-20 17:03:17,289.68,16.5,289.16,16.0,1019,68,Clouds,overcast clouds,10000,6.7,14,100,34,pm25,34,N/A,N/A,N/A,2025-05-20T16:00:00+02:00
